SalesOrderNumber,OrderDate,ProductKey,ResellerKey,EmployeeKey,SalesTerritoryKey,Quantity,Unit Price,Cost,Total Sales,Year,Quarter,Product,Standard Cost,Color,Subcategory,Category,Background Color Format,Font Color Format,Category ID,Subcategory ID,EmployeeID,Salesperson,Title,UPN,Region,Country,Group,Profit,Profit Margin,YYYYMM
SO43897,2017-08-25,235,312,282,4,2,28.84,63.45,57.68,2017,3,"Long-Sleeve Logo Jersey, XL",31.72,Multi,Jerseys,Clothing,#BC8F8F,#000000,4,13,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,-5.770000000000003,-10.003467406380032,2017-08
SO44544,2017-11-18,292,312,282,4,2,818.7,1413.62,1637.4,2017,4,"HL Mountain Frame - Silver, 48",706.81,Silver,Mountain Frames,Components,#C0C0C0,#000000,1,3,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,223.7800000000002,13.666788811530486,2017-11
SO45321,2018-02-18,346,312,282,4,2,2039.99,3824.31,4079.98,2018,1,"Mountain-100 Silver, 44",1912.15,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,255.67000000000007,6.266452286530819,2018-02
SO46082,2018-05-23,220,312,282,4,2,20.19,24.06,40.38,2018,2,"Sport-100 Helmet, Blue",12.03,Blue,Helmets,Accessories,#0000FF,#FFFFFF,2,2,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,16.320000000000004,40.41604754829124,2018-05
SO47028,2018-08-24,410,312,282,4,2,36.45,53.94,72.9,2018,3,LL Mountain Front Wheel,26.97,Black,Wheels,Components,#000000,#FFFFFF,1,6,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,18.960000000000008,26.00823045267491,2018-08
SO48049,2018-11-19,401,312,282,4,2,65.6,97.09,131.2,2018,4,HL Mountain Handlebars,48.55,,Handlebars,Components,#DCDCDC,#000000,1,16,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,34.109999999999985,25.99847560975609,2018-11
SO49132,2019-02-20,399,312,282,4,2,33.77,49.99,67.54,2019,1,ML Mountain Handlebars,24.99,,Handlebars,Components,#DCDCDC,#000000,1,16,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,17.550000000000004,25.984601717500745,2019-02
SO50294,2019-05-25,356,312,282,4,2,1242.85,2235.71,2485.7,2019,2,"Mountain-200 Silver, 46",1117.86,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,249.98999999999978,10.057126765096342,2019-05
SO51845,2019-08-27,591,312,282,4,2,338.99,616.44,677.98,2019,3,"Mountain-500 Silver, 40",308.22,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,61.539999999999964,9.076963922239587,2019-08
SO57144,2019-11-22,598,312,282,4,2,323.99,589.16,647.98,2019,4,"Mountain-500 Black, 44",294.58,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,58.82000000000005,9.077440661748827,2019-11
SO63283,2020-02-27,483,312,282,4,2,72.0,89.76,144.0,2020,1,Hitch Rack - 4-Bike,44.88,,Bike Racks,Accessories,#DCDCDC,#000000,2,25,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,54.239999999999995,37.666666666666664,2020-02
SO69532,2020-05-27,402,312,282,4,2,72.16,106.8,144.32,2020,2,HL Mountain Handlebars,53.4,,Handlebars,Components,#DCDCDC,#000000,1,16,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,37.519999999999996,25.997782705099777,2020-05
SO44113,2017-09-23,218,187,282,4,2,5.7,6.79,11.4,2017,3,"Mountain Bike Socks, M",3.4,White,Socks,Clothing,#FFFFFF,#000000,4,11,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,4.61,40.438596491228076,2017-09
SO44776,2017-12-23,349,187,282,4,2,2024.99,3796.19,4049.98,2017,4,"Mountain-100 Black, 42",1898.09,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,253.78999999999996,6.266450698521966,2017-12
SO45554,2018-03-17,350,187,282,4,2,2024.99,3796.19,4049.98,2018,1,"Mountain-100 Black, 44",1898.09,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,3,5,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,253.78999999999996,6.266450698521966,2018-03
SO46362,2018-06-18,292,187,282,4,2,818.7,1413.62,1637.4,2018,2,"HL Mountain Frame - Silver, 48",706.81,Silver,Mountain Frames,Components,#C0C0C0,#000000,1,3,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,223.7800000000002,13.666788811530486,2018-06
SO47417,2018-09-18,421,187,282,4,2,196.33,290.57,392.66,2018,3,HL Mountain Rear Wheel,145.28,Black,Wheels,Components,#000000,#FFFFFF,1,6,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,102.09000000000003,25.999592522793264,2018-09
SO48356,2018-12-21,294,187,282,4,2,744.27,1321.83,1488.54,2018,4,"HL Mountain Frame - Silver, 46",660.91,Silver,Mountain Frames,Components,#C0C0C0,#000000,1,3,191644724,Linda Mitchell,Sales Representative,linda-mitchell@adventureworks.com,Southwest,United States,North America,166.71000000000004,11.199564674110205,2018-12
